ShellType,Width,Length,AperHt,AperWdt,LU,LipWdt 
Type1,4.04,14.43,3.7,2.58,17.91,0.35
Type1,3.77,13.07,3.54,2.46,16.63,0.39
Type1,3.86,13.62,3.33,2.06,16.9,0.32
Type1,4.13,13.95,3.49,2.42,16.8,0.43
Type1,4.25,15.14,3.99,2.66,19.04,0.48
Type1,4.16,15.3,3.38,2.08,18.48,0.5
Type1,3.87,13.08,3.41,2.32,15.94,0.26
Type1,3.91,13.58,3.95,2.82,16.62,0.49
Type1,3.99,12.83,3.36,2.78,16.18,0.26
Type1,4.02,14.08,3.81,2.7,17.43,0.43
Type1,3.87,13.97,3.8,2.62,17.35,0.36
Type1,3.88,12.59,3.47,2.4,15.61,0.38
Type1,3.87,13.47,3.92,2.75,16.95,0.38
Type2,3.63,13.62,2.79,1.84,16.28,0.26
Type2,3.78,15.96,3.86,2.84,19.34,0.32
Type2,4.02,13.55,3.99,2.4,16.98,0.37
Type2,3.63,14.58,3.6,2.49,17.76,0.27
Type2,3.94,14.98,3.53,2.16,18.54,0.32
Type2,3.62,13.62,3.49,2.49,16.88,0.31
Type2,3.65,14.91,3.31,2.3,17.69,0.28
Type2,3.9,13.13,2.76,2,16.03,0.17
Type2,3.85,13.62,3.67,2.8,17.05,0.37
Type2,3.75,12.96,3.44,2.41,16.34,0.33
Type2,3.71,13.32,2.9,2.27,16.24,0.28
Type2,3.39,13.22,2.71,1.99,15.81,0.2
Type2,3.47,12.42,2.84,2.33,15.75,0.24
Type2,3.66,13.21,3.32,2.47,16.46,0.38
Type2,3.81,14.45,3.87,2.8,17.97,0.36
Type2,3.91,15.07,3.87,2.79,18.66,0.28
Type2,3.57,13.45,3.24,2.3,16.72,0.39
Type2,3.8,13.4,2.4,1.84,16.12,0.25
Type2,3.48,12.75,3.4,2.41,16.18,0.42
Type2,3.9,15.47,3.84,1.99,19.6,0.39
Type2,3.8,14.44,3.83,2.06,18.11,0.34
Type2,3.85,15.78,4.12,2.32,19.28,0.26
Type1,3.5,11.96,3.09,2.21,14.48,0.36
Type2,3.41,12.11,2.83,1.95,14.61,0.23
Type2,3.67,14.18,3.46,2.37,17.52,0.43
Type2,3.34,12.13,2.81,1.99,15.14,0.26
Type2,3.87,14.49,3.87,2.94,17.09,0.34
Type2,3.95,13.62,3.37,2.69,16.7,0.24
Type2,3.63,13.89,3.79,2.25,19.2,0.37
Type2,3.6,13.14,3.5,2.35,16.72,0.37
Type2,3.73,12.77,3.19,2.06,15.68,0.23
Type2,3.83,14.92,3.61,2.45,17.39,0.35
Type2,3.98,15.88,4.04,2.76,18.76,0.32
Type2,3.76,14.57,3.74,2.7,18,0.42
Type2,3.55,13.88,3.19,2.34,16.75,0.25
Type2,3.53,13.33,3.17,1.97,16.02,0.32
Type2,3.66,13.71,3.43,2.67,16.14,0.38
Type2,3.59,13.19,3.37,2.29,16.04,0.32
Type2,3.83,12.5,3.08,2.3,15.8,0.37
Type2,3.48,15.4,3.61,2.66,16.65,0.38
Type2,3.42,14.35,3.65,2.11,17.16,0.25
Type2,3.97,14.23,3.03,2.11,17,0.28
Type2,3.9,14.81,3.46,2.31,17.73,0.49
Type2,4.05,14.09,3.54,2.72,17.6,0.35
Type2,3.47,13.94,3.62,2.46,17.04,0.31
Type2,3.89,13.8,3.51,2.68,17.06,0.28
Type2,3.63,12.7,3.5,2.38,16.29,0.36
Type2,3.96,13.63,3.54,2.61,17.22,0.32
Type2,4.05,14.35,3.8,2.78,18.27,0.32
Type2,3.39,13.77,3.55,2.34,17.33,0.33
Type2,4.05,13.75,3.69,2.92,17.31,0.25
Type2,3.77,12.28,3.32,2.91,16.15,0.3
Type2,4.09,17.68,3.71,2.64,20.35,0.37
Type2,3.5,13.68,3.14,2.16,16.54,0.32
Type2,3.75,13.8,3.3,2.35,17.08,0.35
Type2,3.32,13.23,2.51,2.69,15.63,0.18
Type2,3.76,13.99,3.11,2.35,15.67,0.32
Type2,3.8,15.41,3.66,2.72,18.93,0.4
Type2,3.86,14.79,3.81,2.92,18.35,0.38
Type2,3.7,14.58,3.83,2.38,17.62,0.2
Type1,4.28,16.24,4.43,3.09,20.26,0.53
Type1,4.11,17.07,4.2,3.18,20.65,0.45
Type1,4,18.3,4.08,2.98,22.36,0.48
Type1,4.16,17.07,4.05,2.79,20.86,0.38
Type1,3.51,15.4,3.65,2.8,18.54,0.46
Type1,3.78,15.13,3.8,2.73,18.66,0.47
Type1,4.28,16.17,4.02,2.82,19.88,0.39
Type1,3.81,16.23,4.2,2.91,20.74,0.33
Type1,3.66,15.96,3.4,2.49,18.88,0.45
Type1,4.04,18.39,4.17,3.03,21.75,0.42
Type1,4.13,16.83,3.67,2.25,19.76,0.29
Type1,3.7,15.23,3.59,2.53,17.77,0.31
Type1,3.83,15.4,3.42,2.46,18.19,0.2
Type1,3.75,15.37,3.89,2.55,18.56,0.36
Type1,3.58,13.72,3.96,2.68,17.35,0.43
Type1,4.1,16.23,4.27,2.8,20.2,0.54
Type1,4.07,14.02,3.98,3.03,18.94,0.47
Type1,3.71,16.38,3.35,2.3,19.02,0.31
Type1,4,15.18,3.85,2.84,18.44,0.46
Type1,3.8,14.45,3.78,2.63,18.19,0.32
Type1,3.67,12.16,3.1,2.33,14.34,0.42
Type1,3.4,12.21,2.7,1.83,14.1,0.4
Type2,3.52,12.47,3.16,2.18,14.85,0.29
Type1,3.53,12.86,2.71,2.3,15.04,0.35
Type1,3.53,12.43,3.06,2.07,14.54,0.21
Type1,3.69,12.09,2.82,2,14.23,0.31
Type1,3.38,12.48,2.73,2,14.24,0.32
Type1,3.19,9.63,2.46,1.93,11.59,0.33
Type2,2.89,10.58,2.4,2.11,12.73,0.34
Type2,3.27,11.68,2.93,1.8,14.5,0.25
Type2,3.14,11.94,2.45,1.89,14.27,0.22
Type2,3.37,11.7,2.71,2.42,13.74,0.28
Type2,3.19,12.27,2.84,2.02,14.38,0.28
Type2,2.7,10.78,2.4,1.64,13.24,0.36
Type2,3.09,12.39,3.01,1.99,15.07,0.32
Type2,3.12,10.39,2.62,1.81,13.08,0.22
Type2,3.04,10.72,2.61,2.44,13.24,0.3
